agglomeration_id,agglomeration_name,region,time_scale,S_i,N_i,coupling_regime,CCD_recalculated,regime_recalculated
BG_1h_District/County Level,BG,North China,1h,0.255948135,1.849989577,Spatial Lag Type,0.8295265920690559,Spatial-Lagging
BG_1h_City Level,BG,North China,1h,0.255948135,1.622732111,Low Coupling Type,0.8027858332231376,Low-Coupling
BG_2h_District/County Level,BG,North China,2h,0.472067781,1.849989577,High Coupling Type,0.9667037660708048,High-Coupling
BG_2h_City Level,BG,North China,2h,0.472067781,1.622732111,Social Lag Type,0.9355409407544241,Social-Lagging
BG_3h_District/County Level,BG,North China,3h,0.649175978,1.849989577,High Coupling Type,1.0468463197877316,High-Coupling
BG_3h_City Level,BG,North China,3h,0.649175978,1.622732111,Social Lag Type,1.0131000056203243,Social-Lagging
BTH_1h_District/County Level,BTH,North China,1h,0.270959262,2.21130128,Spatial Lag Type,0.8798081476171071,Spatial-Lagging
BTH_1h_City Level,BTH,North China,1h,0.270959262,1.82189027,Low Coupling Type,0.8382171731831153,Low-Coupling
BTH_2h_District/County Level,BTH,North China,2h,0.521364657,2.21130128,High Coupling Type,1.036209038434198,High-Coupling
BTH_2h_City Level,BTH,North China,2h,0.521364657,1.82189027,Social Lag Type,0.9872245595537595,Social-Lagging
BTH_3h_District/County Level,BTH,North China,3h,0.719056587,2.21130128,High Coupling Type,1.1229301604735746,High-Coupling
BTH_3h_City Level,BTH,North China,3h,0.719056587,1.82189027,Social Lag Type,1.069846133322987,Social-Lagging
CC_1h_District/County Level,CC,Northeast China,1h,0.36886734,2.019001148,Spatial Lag Type,0.9289700069818562,Spatial-Lagging
CC_1h_City Level,CC,Northeast China,1h,0.36886734,1.826720928,Spatial Lag Type,0.9060154467385899,Spatial-Lagging
CC_2h_District/County Level,CC,Northeast China,2h,0.576317387,2.019001148,High Coupling Type,1.0386029982535614,High-Coupling
CC_2h_City Level,CC,Northeast China,2h,0.576317387,1.826720928,High Coupling Type,1.012939440858738,High-Coupling
CC_3h_District/County Level,CC,Northeast China,3h,0.702200917,2.019001148,High Coupling Type,1.0911877693936387,High-Coupling
CC_3h_City Level,CC,Northeast China,3h,0.702200917,1.826720928,High Coupling Type,1.0642248586419347,High-Coupling
CG_1h_District/County Level,CG,East China,1h,0.269416891,2.129776987,Spatial Lag Type,0.8703415908174101,Spatial-Lagging
CG_1h_City Level,CG,East China,1h,0.269416891,1.608160773,Low Coupling Type,0.8113132545010069,Low-Coupling
CG_2h_District/County Level,CG,East China,2h,0.479940228,2.129776987,High Coupling Type,1.0054959389305698,High-Coupling
CG_2h_City Level,CG,East China,2h,0.479940228,1.608160773,Social Lag Type,0.9373011599217576,Social-Lagging
CG_3h_District/County Level,CG,East China,3h,0.643239108,2.129776987,High Coupling Type,1.0818738977810478,High-Coupling
CG_3h_City Level,CG,East China,3h,0.643239108,1.608160773,Social Lag Type,1.0084990103070612,Social-Lagging
CP_1h_District/County Level,CP,East China,1h,0.29988249,1.865084402,Spatial Lag Type,0.8647934658994246,Spatial-Lagging
CP_1h_City Level,CP,East China,1h,0.29988249,1.67187756,Low Coupling Type,0.8414704980869068,Low-Coupling
CP_2h_District/County Level,CP,East China,2h,0.614529125,1.865084402,High Coupling Type,1.0346899723773624,High-Coupling
CP_2h_City Level,CP,East China,2h,0.614529125,1.67187756,Social Lag Type,1.00678499636486,Social-Lagging
CP_3h_District/County Level,CP,East China,3h,0.811870586,1.865084402,High Coupling Type,1.1092931324604214,High-Coupling
CP_3h_City Level,CP,East China,3h,0.811870586,1.67187756,Social Lag Type,1.0793761533859858,Social-Lagging
