agglomeration_id,agglomeration_name,macro_region
BTH,Beijing-Tianjin-Hebei,Eastern coastal
YRD,Yangtze River Delta,Eastern coastal
GB,Great Bay of Guangdong-Macau-Hongkong,Eastern coastal
WCOTS,West Coast of Taiwan Strait,Eastern coastal
SP,Shandong Peninsula,Eastern coastal
BG,Beibu Gulf,Eastern coastal
MRYR,Middle Reaches of the Yangtze River,Central region
CP,Central Plains,Central region
CS,Central Shaanxi,Western region
GP,Guanzhong Plains,Western region
HBOY,Huhehot-Baotou-Ordos-Yulin,Western region
SCL,South Central Liaoning,Northeast region
HC,Harbin-Changchun,Northeast region
CC,Chengdu-Chongqing,Western region
CG,Central Guizhou,Western region
CY,Central Yunnan,Western region
LX,Lanzhou-Xining,Western region
YH,Yan-Huang,Western region
NTS,North Tianshan Slope,Western region
